version,interestingApp,status,name,latestUpdate,storeName,releaseDate,providerCategory,healthEntityInvolved,EU,geographicCoverage,continents,appCategory,appFunctionalityCategory,appFunctionality,typesOfPersonalData ,clearPrivacyPolicy 
1,no,active,MANÁ,2020-04-21T17:28:56,AppStore (iOS),2019-06-13T08:49:25Z,other type of company,health facilities,no,BRA,South America,health-generic,other-health,,,
1.0.36,yes,active,Apturi Covid Latvia – SPKC,2020-05-27T17:37:50,AppStore (iOS),2020-05-28T07:00:00Z,national government,health authority,yes,LVA,Europe,covid-19 specific,contact tracing,proximity tracking,proximity; health status; other,yes
1,no,active,Hunala,2020-05-18T17:20:17,AppStore (iOS),2020-05-18T07:00:00Z,university(ies) or research centre(s),no,no,USA,North America,covid-19 influenced,information provision,,,
1,no,active,Lisboa 24,2020-05-12T20:01:02,AppStore (iOS),2020-04-27T07:00:00Z,local/regional government,no,yes,PRT,Europe,covid-19 influenced,information provision,,,
1,yes,active,Tabaud (COVID-19 KSA),2020-06-12T18:09:38,AppStore (iOS),2020-06-12T07:00:00Z,national government,health authority,no,SAU,Asia,covid-19 specific,information exchange; contact tracing; notifications; other-health,symptoms monitoring with data sharing; proximity tracking; sending notifications ,proximity; other,no
1.0.3,yes,active,Ayush Sanjivani,2020-05-17T06:40:17,AppStore (iOS),2020-06-04T07:00:00Z,national government,health authority,no,IND,Asia,covid-19 specific,information provision; information exchange; expert support,prevention; symptoms monitoring with data sharing,health status; positive status; other,no
7.0.3,yes,active,EHTERAZ,2020-05-14T16:59:19,AppStore (iOS),2020-04-25T07:00:00Z,national government,health authority,no,QAT,Asia,covid-19 specific,information provision; information exchange; contact tracing; notifications,statistics; prevention; news; symptoms monitoring with data sharing; communication with a doctor; proximity tracking; sending notifications,proximity; location as gps/cell tower data; health status; positive status,na
1,no,active,Coronavírus - HB Saúde,2020-04-22T15:53:25,AppStore (iOS),2020-04-22T07:00:00Z,health company,health facilities,no,BRA,South America,covid-19 specific,information provision,,,
1,no,active,NU Know COVID-19,2020-06-06T16:35:30,AppStore (iOS),2020-06-01T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,THA,Asia,covid-19 specific,information provision,,,
1,no,active,TCC COVID Monitor,2020-05-13T00:41:51,AppStore (iOS),2020-05-12T07:00:00Z,local/regional government,health facilities,no,AUS,Oceania,covid-19 specific,information provision; information exchange,,,
1,yes,active,eRouška,2020-05-05T08:15:57,AppStore (iOS),2020-05-03T07:00:00Z,national government,no,yes,CZE,Europe,covid-19 specific,information provision; contact tracing; notifications,prevention; sending notifications; sending instructions; proximity tracking,proximity; positive status,yes
,no,active,자가격리자 안전보호,,AppStore (iOS),2020-03-13T07:00:00Z,national government,no,no,KOR,Asia,covid-19 specific,information provision,self-diagnosis without data sharing; news,,
1,no,active,Sahaaya Setuve,2020-05-05T18:29:08,AppStore (iOS),2020-04-12T07:00:00Z,local/regional government,no,no,IND,Asia,covid-19 influenced,expert support;  information exchange,,,
1,yes,active,COVID-RD,2020-05-16T22:34:20,AppStore (iOS),2020-04-09T07:00:00Z,national government,health authority,no,DOM,North America,covid-19 specific,information provision; information exchange; notifications,statistics; news; symptoms monitoring with data sharing; sending notifications; sending instructions,health status; other,no
1,no,active,Preço Legal,2020-05-13T23:37:41,AppStore (iOS),2020-01-17T08:00:00Z,local/regional government,no,no,BRA,South America,other,information provision,,,
1,no,active,Bamras App,2020-04-15T06:33:50,AppStore (iOS),2019-10-28T07:00:00Z,health company,no,no,USA,North America,health-generic,expert support; information provision,telemedicine; access to health services,,
1,no,active,PatientSphere CV,2020-04-12T07:00:00,AppStore (iOS),2020-03-19T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,USA,North America,covid-19 specific,personalised support without data sharing; information exchange,manage self-isolation,,
1.7.3,yes,active,Дія,2020-05-14T11:32:47,AppStore (iOS),2020-02-05T08:00:00Z,national government,no,no,UKR,Europe,covid-19 specific,information provision; notifications,prevention; news; sending notifications,other,na
1.1.8,no,active,Lasante Seychelles,2020-04-24T10:24:44,AppStore (iOS),2020-05-15T07:00:00Z,health company,health facilities,no,SYC,Africa,covid-19 specific,information provision; information exchange; personalised support without data sharing; expert support; notifications,,,
,no,active,COVID-19MX,,AppStore (iOS),2020-04-06T07:00:00Z,national government,no,no,MEX,North America,covid-19 specific,information provision; information exchange,self-diagnosis with data sharing; news,,
1,yes,active,CScreener,2020-07-28T07:57:27,AppStore (iOS),2020-07-28T07:00:00Z,other type of company,no,no,USA,North America,covid-19 specific,information exchange; contact tracing,symptoms monitoring with data sharing; risk assessment with data sharing,health status; other; location as province/region; location as gps/cell tower data,na
2.2.3.1702,yes,active,SwiftMED,2020-05-17T11:36:13,AppStore (iOS),2020-03-13T07:00:00Z,other type of company,no,no,SGP,Asia,covid-19 specific,information provision; information exchange; contact tracing; notifications; lockdown management,news; symptoms monitoring with data sharing;continuous location sharing; sending notifications; sending instructions; mobility checking,proximity; location as gps/cell tower data; health status; other,no
1,yes,active,Smitte|stop,2020-06-25T11:04:42,AppStore (iOS),2020-07-17T07:00:00Z,national government,health authority,yes,DNK,Europe,covid-19 specific,contact tracing,proximity tracking; sending notifications; sending instructions,proximity; positive status,yes
1,yes,active,Corona_Watch,2020-04-23T12:49:22,AppStore (iOS),2020-04-23T07:00:00Z,national government,no,no,IND,Asia,covid-19 specific,personalised support without data sharing,risk assessment without data sharing,positive status; location as gps/cell tower data,yes
1,no,active,UAE PP,2020-05-03T09:27:24,AppStore (iOS),2019-07-09T07:00:00Z,local/regional government,no,no,ARE,Asia,other,other,,,
1,no,active,Prefeitura de Castanhal,2020-05-08T19:11:21,AppStore (iOS),2020-04-23T07:00:00Z,local/regional government,no,no,BRA,South America,covid-19 influenced,information provision,,,
1,no,active,XFERALL,2020-05-13T23:04:46,AppStore (iOS),2017-04-05T21:53:10Z,health company,health facilities,no,USA,North America,health-generic,expert support,,,
1,no,active,COVID Asist,2020-04-25T14:48:26,AppStore (iOS),2020-04-25T14:48:26Z,university(ies) or research centre(s),medicine research institute(s) university(ies),yes,ROU,Europe,covid-19 specific,information provision; information exchange; notifications,,,
1,no,active,MapVi,2020-05-08T21:50:44,AppStore (iOS),2020-05-08T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,COL,South America,covid-19 specific,information provision,,,
,yes,notactive,Stop Covid,,AppStore (iOS),2020-04-12T07:00:00Z,national government,health authority,no,GEO,Europe,covid-19 specific,information exchange; contact tracing; notifications,continuous location sharing; sending notifications,location as gps/cell tower data; proximity; positive status,yes
1,no,active,Osler ePortfolio,2018-07-26T23:22:36,AppStore (iOS),2018-05-28T01:44:45Z,technology company,no,no,USA,North America,health-generic,expert support,,,
1,no,active,H4U-COVID19,2020-04-28T17:08:21,AppStore (iOS),2020-04-22T07:00:00Z,national government,health facilities,no,THA,Asia,covid-19 influenced,information provision; information exchange,prevention;news;access to health services;risk assessment with data sharing; communication with a doctor,,
1.0.2,yes,active,Immuni,2020-06-06T09:13:08,AppStore (iOS),2020-06-01T07:00:00Z,national government,health authority,yes,ITA,Europe,covid-19 specific,information provision; contact tracing; notifications,prevention; sending notifications; sending instructions; proximity tracking,location as province/region; proximity; health status; positive status; other,yes
5.5.000.007,no,active,StayHome App,2020-04-08T09:06:44,AppStore (iOS),2020-03-31T07:00:00Z,national government,no,no,ARE,Asia,covid-19 specific,lockdown management,,,
,no,active,COVID Coach,,AppStore (iOS),2020-04-17T07:00:00Z,national government,no,no,USA,North America,covid-19 specific,information exchange,manage self-isolation,,
1,no,active,CISP - Covid19 Angola,2020-05-07T15:29:07,AppStore (iOS),2020-05-04T07:00:00Z,national government,health facilities,no,AGO,Africa,covid-19 specific,information provision; information exchange,,,
1,no,active,Check Covid-19,2020-07-04T14:37:35,AppStore (iOS),2020-07-04T07:00:00Z,technology company,no,no,RUS,Europe,covid-19 specific,expert support; information provision; information exchange,,,
1,no,active,Yerba Buena Covid-19,2020-07-23T03:33:34,AppStore (iOS),2020-07-22T07:00:00Z,local/regional government,consortium,no,ARG,South America,covid-19 specific,information exchange,,,
,no,active,HEALTHLYNKED COVID-19 Tracker,,AppStore (iOS),2020-02-26T08:00:00Z,health company,no,no,USA,North America,covid-19 specific,information exchange,self-diagnosis with data sharing,,
1,yes,notactive,Castor COVID-19,2020-04-13T11:50:42,AppStore (iOS),2020-04-13T11:50:42Z,university(ies) or research centre(s),medicine research institute(s) university(ies),yes,NLD,Europe,covid-19 specific,expert support; information exchange,monitor overall situation; training; symptoms monitoring with data sharing,health status,no
1,no,active,coVIDApp - Huésped,2020-05-16T01:01:30,AppStore (iOS),2020-05-15T07:00:00Z,non-profit organization,health facilities,yes,ESP,Europe,covid-19 specific,expert support,monitor overall situation; manage test; telemedicine; help in self-isolation,,
1,yes,active,CovidRadar.mx,2020-04-19T12:33:40,AppStore (iOS),2020-04-19T07:00:00Z,local/regional government,health authority,no,MEX,North America,covid-19 specific,contact tracing; notifications,continuous location sharing; sending notifications,proximity,no
1,yes,active,Delhi Corona,2020-06-08T09:20:59,AppStore (iOS),2020-06-08T07:00:00Z,local/regional government,no,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; lockdown management,statistics; access to health services; self-diagnosis without data sharing; mobility checking,location as gps/cell tower data; other,no
,no,active,Conecte SUS,,AppStore (iOS),2016-04-01T15:52:14Z,national government,health authority,no,BRA,South America,covid-19 influenced,information provision,,,
1,yes,notactive,Monitor by Tracelinks,2020-06-16T11:40:32,AppStore (iOS),2020-06-16T07:00:00Z,technology company,no,no,USA,North America,covid-19 specific,expert support; information provision; information exchange; contact tracing,monitor overall situation; prevention; symptoms monitoring with data sharing; occasional location sharing,,yes
3.0,no,active,WHO Academy: Covid-19 Learning,2020-06-12T01:10:58,AppStore (iOS),2020-05-08T07:00:00Z,international organisation,health authority,yes,WORLD,WORLD,covid-19 specific,expert support; information provision,,,
1,no,active,Caribbean COVID-19 Update,2020-07-22T14:51:57,AppStore (iOS),2020-07-22T07:00:00Z,local/regional government,health authority,no,BES,North America,covid-19 specific,information provision; information exchange,,,
1,yes,active,Mediktor,2020-04-27T10:58:23,AppStore (iOS),2014-01-29T19:45:02Z,health company,health facilities,no,BRA,South America,covid-19 specific,information provision; information exchange; expert support,telemedicine; symptoms monitoring with data sharing; risk assessment with data sharing; communication with a doctor,health status; other,no
1,no,active,COVID-19 CDMX,2020-05-10T22:38:31,AppStore (iOS),2020-05-10T22:38:31Z,national government,na,no,MEX,North America,covid-19 specific,information provision,,,
3.6,yes,active,liveClinic MyRecords,2020-04-11T13:58:21,AppStore (iOS),2018-08-07T02:36:14Z,health company,health facilities,no,USA,North America,covid-19 influenced,information exchange; expert support,symptoms monitoring with data sharing; telemedicine; communication with a doctor,health status,yes
1,no,active,연세 COVALT,2020-07-21T18:23:57,AppStore (iOS),2020-07-21T07:00:00Z,university(ies) or research centre(s),no,no,KOR,Asia,covid-19 specific,information provision; lockdown management,,,
5.0,no,active,COVID-19 Care Tamil Nadu,2020-06-18T23:45:35,AppStore (iOS),2020-06-18T07:00:00Z,local/regional government,na,no,IND,Asia,covid-19 specific,information provision; notifications,,,
1,no,active,COVID Monitor,2020-05-12T16:55:21,AppStore (iOS),2020-04-05T07:00:00Z,local/regional government,na,no,BRA,South America,covid-19 specific,information provision,,,
2.0.1,yes,active,Hamro Swasthya,2020-05-10T03:40:38,AppStore (iOS),2020-05-12T07:00:00Z,national government,health authority,no,NPL,Asia,covid-19 specific,information provision; contact tracing; notifications,news; statistics; proximity tracking; sending notifications,proximity; location as gps/cell tower data; positive status; other,no
,yes,active,Bolivia Segura,,AppStore (iOS),2020-03-13T07:00:00Z,national government,no,no,BOL,South America,covid-19 specific,information exchange,symptoms monitoring with data sharing,,na
2.4.0,no,active,Saw Saw Shar,2020-05-17T07:38:36,AppStore (iOS),2020-06-11T07:00:00Z,technology company,na,no,MMR,Asia,covid-19 specific,information provision,,,
1,no,active,Austin 311,2020-05-04T13:41:48,AppStore (iOS),2014-07-28T17:09:42Z,local/regional government,na,no,USA,North America,other,other; information provision,,,
1,yes,active,ACEP COVID Captures,2020-07-13T17:30:23,AppStore (iOS),2020-07-13T07:00:00Z,non-profit organization,no,no,USA,North America,covid-19 specific,other,,other,yes
1.0.1,yes,active,ABTraceTogether,2020-05-07T22:24:36,AppStore (iOS),2020-05-01T07:00:00Z,local/regional government,health authority,no,CAN,North America,covid-19 specific,contact tracing; notifications,proximity tracking; sending notifications; sending instructions,proximity; positive status,yes
1,no,active,NJ COVID 19,2020-04-02T07:00:00,AppStore (iOS),2020-04-02T07:00:00Z,non-profit organization,no,no,USA,North America,covid-19 specific,information provision,,,
1.2,no,notactive,H.A.R.D. - Safende,2020-05-01T23:03:15,AppStore (iOS),2020-05-11T07:00:00Z,technology company,no,no,CPV,Africa,health-generic,information provision; information exchange,,,
1,no,notactive,GPG Events,2020-05-19T00:03:43,AppStore (iOS),2019-03-20T21:53:15Z,local/regional government,no,no,ZAF,Africa,other,other,,,
1,yes,active,CORONAVIRUS - Діагностика,2020-05-12T01:37:20,AppStore (iOS),2020-05-12T01:37:20Z,health company,no,no,UKR,Europe,covid-19 specific,information provision; information exchange; expert support,manage test; statistics; medication; news; symptoms monitoring with data sharing; risk assessment with data sharing; communication with a doctor,health status,no
1,yes,active,Ma Trousse CNESST,2020-04-30T15:20:02,AppStore (iOS),2020-04-27T07:00:00Z,local/regional government,health facilities,no,CAN,North America,other,information provision; personalised support without data sharing, prevention; symptoms monitoring without data sharing,,na
1,no,active,AyudaCOVID,2020-04-06T11:10:52,AppStore (iOS),2020-03-31T07:00:00Z,local/regional government,health authority; health facilities,yes,ESP,Europe,covid-19 specific,information exchange,,,
,no,active,Mobile JKN,,AppStore (iOS),2017-06-15T13:42:16Z,health company,no,no,IDN,Asia,health-generic,information provision,access to health services,,
,no,active,COVID-19!,,AppStore (iOS),2020-03-27T07:00:00Z,health company,no,yes,CZE,Europe,covid-19 specific,information provision,news,,
5.2,no,active,iChemo Deluxe,2020-05-03T19:42:10,AppStore (iOS),2016-06-21T22:06:16Z,health company,na,no,USA,North America,other,other,,,
1.0.15,no,active,LazioDrCovid,2020-05-09T11:15:10,AppStore (iOS),2020-03-19T07:00:00Z,local/regional government,health facilities,yes,ITA,Europe,covid-19 specific,information provision; information exchange,,,
Varies with device,no,active,GovHK Notifications,2019-12-23T06:30:09,AppStore (iOS),2012-08-15T07:18:40Z,national government,no,no,HKG,Asia,other,other,,,
1,no,active,ARRS 2020,2020-05-04T17:03:03,AppStore (iOS),2020-05-04T07:00:00Z,non-profit organization,medicine research institute(s) university(ies),no,USA,North America,other,other,,,
,yes,active,COVID Symptom Study,,AppStore (iOS),2020-03-23T07:00:00Z,university(ies) or research centre(s),no,no,GBR,Europe,covid-19 specific,information exchange,symptoms monitoring with data sharing,proximity; positive status; health status,yes
1.0.2,yes,active,صحة مصر,2020-04-16T16:25:00,AppStore (iOS),2020-05-05T07:00:00Z,national government,health authority; health facilities ,no,EGY,Africa,covid-19 specific,information provision; information exchange; notifications; contact tracing; lockdown management,news; statistics; prevention; medication; symptoms monitoring with data sharing; proximity tracking; sending notifications,location as gps/cell tower data; health status,na
1,yes,active,HMushrif,2020-05-15T07:00:00,AppStore (iOS),2020-05-03T07:00:00Z,national government,health facilities,no,OMN,Asia,covid-19 specific, information exchange; expert support; contact tracing,"monitor overall situation; symptoms monitoring with data sharing;
manage self-isolation;
continuous location sharing",location as gps/cell tower data; health status,na
,yes,active,ViruSafe,,AppStore (iOS),2020-04-06T07:00:00Z,national government,health authority,yes,BGR,Europe,covid-19 specific,information provision; information exchange; notifications,statistics; self-diagnosis with data sharing; news,proximity; health status; location as gps/cell tower data,yes
1,no,active,COVID Navigator,2020-05-15T23:12:44,AppStore (iOS),2020-05-15T07:00:00Z,health company,no,no,USA,North America,covid-19 specific,information provision; personalised support without data sharing; information exchange,,,
7.4,no,active,My GNP,2020-05-07T19:26:31,AppStore (iOS),2014-05-01T21:21:32Z,health company,health authority,no,USA,North America,covid-19 influenced,information provision; information exchange,,,
1,no,active,GTO Sano,2020-04-23T21:38:32,AppStore (iOS),2020-04-04T07:00:00Z,local/regional government,health authority,no,MEX,North America,covid-19 specific,information provision,,,
1,no,active,NY Health Screen,2020-07-31T01:46:12,AppStore (iOS),2020-07-25T07:00:00Z,technology company,no,no,USA,North America,covid-19 specific,information exchange; lockdown management,,,
,no,active,Babylon: 24/7 Healthcare,,AppStore (iOS),2014-04-18T10:36:34Z,health company,no,no,GBR,Europe,covid-19 specific,expert support,telemedicine,,
1,no,active,PrediCovid,2020-06-23T20:20:01,AppStore (iOS),2020-06-23T07:00:00Z,health company,health authority,yes,FRA,Europe,covid-19 specific,personalised support without data sharing,self-diagnosis without data sharing,health status; positive status,
1,no,active,Apto,2020-04-15T16:00:24,AppStore (iOS),2019-04-26T00:52:35Z,technology company,no,no,ARG,South America,health-generic,information exchange; other,prevention; access to health services,,
1,no,active,Coronavirus Support App (UK),2020-05-30T08:33:54,AppStore (iOS),2020-05-30T07:00:00Z,health company,consortium,no,GBR,Europe,covid-19 specific,information provision; personalised support without data sharing,,,
1,no,notactive,Covid19 News,2020-04-14T07:16:05,AppStore (iOS),2020-04-14T07:00:00Z,health company,no,yes,NLD,Europe,covid-19 specific,information provision,,,
1.1.0,yes,active,StopKorona!,2020-05-07T08:12:16,AppStore (iOS),2020-04-12T07:00:00Z,national government,na,no,MKD,Europe,covid-19 specific,contact tracing,proximity tracking; sending notifications; sending instructions,proximity; positive status; other,yes
1.5.0,no,active,MySNS,2018-09-15T12:49:27,AppStore (iOS),2016-09-16T06:54:41Z,national government,health authority,yes,PRT,Europe,health-generic,other-health,,,
1,yes,active,StopCOVID NI,2020-07-30T07:18:00,AppStore (iOS),2020-07-30T07:00:00Z,national government,health authority,no,GBR,Europe,covid-19 specific,contact tracing,proximity tracking,proximity; positive status,na
1,no,active,Simulador Intubación COVID-19,2020-06-02T16:27:09,AppStore (iOS),2020-06-02T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,PER,South America,covid-19 specific,expert support,training,,
1,yes,active,COVID izle,2020-05-22T20:46:17,AppStore (iOS),2020-05-22T07:00:00Z,national government,health authority,no,AZE,Europe,covid-19 specific,contact tracing,proximity tracking,proximity; other,yes
2.0.2,yes,active,Bluezone - Electronic mask,2020-05-15T16:33:51,AppStore (iOS),2020-04-17T07:00:00Z,national government,health authority,no,VNM,Asia,covid-19 specific,contact tracing; notifications,proximity tracking; sending notifications,proximity; positive status,no
1,yes,notactive,Coverified,2020-06-25T17:51:31,AppStore (iOS),2020-06-25T07:00:00Z,community,no,no,USA,North America,covid-19 specific,lockdown management,exit management ,positive status; health status; location as province/region; other,yes
1.0,no,active,Corona Check Screening,2020-05-29T08:57:34,AppStore (iOS),2020-04-24T07:00:00Z,community,no,yes,DEU,Europe,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
1,yes,active,ComVida,2020-04-16T15:11:08,AppStore (iOS),2020-04-16T07:00:00Z,technology company,health authority,no,CPV,Africa,covid-19 specific,information exchange; contact tracing,symptoms monitoring with data sharing; proximity tracking,proximity; health status,na
1.5.21,no,active,Covidom Patient,2020-05-07T09:24:53,AppStore (iOS),2020-03-10T07:00:00Z,health company,health facilities,yes,FRA,Europe,covid-19 specific,expert support; information exchange,,,
1,yes,active,COVID Tracker Ireland,2020-07-06T17:43:21,AppStore (iOS),2020-07-06T07:00:00Z,national government,health authority,yes,IRL,Europe,covid-19 specific,information provision; personalised support without data sharing; information exchange; contact tracing; notifications,news; symptoms monitoring without data sharing; symptoms monitoring with data sharing; proximity tracking; sending notifications; sending instructions,"proximity; 
location as province/region; 
health status; 
positive status; 
other",yes
1,no,active,COVID-KAYA,2020-06-04T04:06:18,AppStore (iOS),2020-06-03T07:00:00Z,international organisation,medicine research institute(s) university(ies),Yes,WORLD,WORLD,covid-19 specific,expert support,,,
1.0.16,no,active,MySejahtera,2020-05-12T17:10:06,AppStore (iOS),2020-03-28T07:00:00Z,national government,health authority,no,MYS,Asia,covid-19 specific,information provision; information exchange,,,
1.1.0,yes,active,Rakning C-19,2020-04-19T17:05:01,AppStore (iOS),2020-04-02T07:00:00Z,national government,health authority,no,ISL,Europe,covid-19 specific,contact tracing,proximity tracking; sending notifications; sending instructions,location as gps/cell tower data; positive status; other,yes
2,no,active,COVID Control,2020-05-10T18:17:05,AppStore (iOS),2020-04-30T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,USA,North America,covid-19 specific,"information provision;
information exchange",,,
,no,active,Safe Travel,,AppStore (iOS),2018-02-06T01:49:12Z,national government,no,no,IDN,Asia,other,information provision,,,
1,yes,active,COVID-19 Symptom Tracker (LR),2020-07-14T08:51:41,AppStore (iOS),2020-07-14T07:00:00Z,national government,consortium,no,LBR,Africa,covid-19 specific,information provision; information exchange; lockdown management; contact tracing,statistics; news; risk assessment with data sharing; symptoms monitoring with data sharing; mobility checking,health status; positive status; other,no
,no,active,Coronavirus COVID Tracker,,AppStore (iOS),2020-04-11T07:00:00Z,health company,health authority,no,USA,North America,covid-19 specific,information provision,news,,
1,no,active,Salud Cochabamba,2020-06-21T19:51:58,AppStore (iOS),2020-06-17T07:00:00Z,local/regional government,health facilities,no,BOL,South America,covid-19 influenced,information provision; information exchange,prevention; self-diagnosis with data sharing,,
2.0.3,no,active,Minutis Mobile,2020-04-24T17:45:32,AppStore (iOS),2018-10-21T02:36:44Z,non-profit organization,consortium,yes,FRA,Europe,health-generic,expert support,,,
1.2.0,yes,active,Interactive Clinics,2020-04-17T03:38:30,AppStore (iOS),2018-08-09T02:34:10Z,technology company,no,yes,ESP,Europe,covid-19 influenced,information provision; information exchange,access to health services; symptoms monitoring with data sharing,location as province/region; health status; other,yes
1.0.5,no,active,Koronavirus MK,2020-04-02T14:30:00,AppStore (iOS),2020-04-01T07:00:00Z,local/regional government,na,no,MKD,Europe,covid-19 specific,information provision,,,
1,no,active,Disinfection Checklist COVID19,2020-04-23T14:13:10,AppStore (iOS),2020-04-03T07:00:00Z,technology company,no,no,USA,North America,covid-19 specific,expert support,,,
1,no,notactive,SiKoJa,2020-04-25T17:21:14,AppStore (iOS),2020-02-05T08:00:00Z,local/regional government,na,no,IDN,Asia,covid-19 influenced,information provision,,,
1,yes,notactive,Coronavirus SP,2020-03-30T13:16:09,AppStore (iOS),2020-03-30T07:00:00Z,local/regional government,health facilities,no,BRA,South America,covid-19 specific,information provision;  information exchange; expert support,telemedicine; self-diagnosis with data sharing; access to health services; symptoms monitoring with data sharing; risk assessment with data sharing,location as province/region;  health status; positive status; other,no
1,no,active,Covid Care,2020-07-14T20:44:50,AppStore (iOS),2020-07-14T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies) ,no,BRA,South America,covid-19 specific,information exchange,,,
1,no,active,Healthcare Roster,2020-04-05T19:14:06,AppStore (iOS),2020-01-16T08:00:00Z,other type of company,health facilities,no,CAN,North America,health-generic,expert support,,,
1.0.16,yes,notactive,SaferTogether,2020-04-29T18:41:35,AppStore (iOS),2020-04-30T07:00:00Z,national government,health authority,no,SGP,Asia,covid-19 specific,contact tracing; notifications,continuous location sharing; sending notifications; sending instructions,proximity; location as gps/cell tower data; other,yes
,no,active,COVID-19 UAE,,AppStore (iOS),2020-04-01T07:00:00Z,national government,health authority,no,ARE,Asia,covid-19 specific,information provision,news,,
1,no,active,BC COVID-19 Safety Plan,2020-06-22T16:25:29,AppStore (iOS),2020-06-22T07:00:00Z,national government,na,no,CAN,North America,other,other,,,
,yes,active,Care19 Diary,,AppStore (iOS),2020-04-07T07:00:00Z,local/regional government,no,no,USA,North America,covid-19 specific,contact tracing,self-diagnosis with data sharing; occasional location sharing,proximity; positive status,yes
1,no,active,PharmaProvence,2020-05-13T18:45:35,AppStore (iOS),2019-12-18T08:00:00Z,health company,no,yes,FRA,Europe,other,other,,,
1,no,active,Provider to Provider,2020-05-14T13:36:05,AppStore (iOS),2020-04-10T07:00:00Z,health company,no,no,USA,North America,health-generic, information exchange; expert support,,,
1,no,active,Odisha COVID Dashboard,2020-05-12T13:49:55,AppStore (iOS),2020-04-27T07:00:00Z,local/regional government,na,no,IND,Asia,covid-19 specific,information provision,,,
1,no,active,Guanajuato COVID-19,2020-05-26T13:01:50,AppStore (iOS),2020-05-26T07:00:00Z,local/regional government,health authority,no,MEX,North America,covid-19 specific,expert support; information provision; information exchange,,,
1,no,notactive,das:lab,2020-07-21T08:04:19,AppStore (iOS),2020-07-21T07:00:00Z,other type of company,no,yes,DEU,Europe,covid-19 specific,information provision,,,
1,no,active,ASTCT Practice Guidelines,2020-04-29T00:48:49,AppStore (iOS),2017-02-13T23:13:48Z,national government,medicine research institute(s) university(ies),no,USA,North America,health-generic,other-health,,,
2.0.5,no,active,Coronavírus - SUS,2020-04-10T17:08:05,AppStore (iOS),2018-07-28T10:28:36Z,national government,health authority,no,BRA,South America,covid-19 specific,information provision; personalised support without data sharing; information exchange,,,
1,no,active,MySelfCare,2020-04-26T00:22:11,AppStore (iOS),2020-03-23T07:00:00Z,health company,health facilities,no,USA,North America,covid-19 influenced,information exchange; expert support; other,monitor overall situation; manage test; telemedicine,,
1,no,active,MyRCGP,2020-05-14T14:43:12,AppStore (iOS),2019-10-16T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,GBR,Europe,health-generic,expert support,,,
,no,active,COVIDCare NI,,AppStore (iOS),2020-03-27T07:00:00Z,national government,no,no,GBR,Europe,covid-19 specific,notifications,sending notifications,,
,no,active,SehatQ,,AppStore (iOS),2019-09-17T07:00:00Z,health company,no,no,IDN,Asia,health-generic,information provision; information exchange; expert support,,,
1,yes,active,COVIDSafe,2020-05-16T01:34:07,AppStore (iOS),2020-04-25T07:00:00Z,national government,health authority,no,AUS,Oceania,covid-19 specific,contact tracing; notifications; lockdown management,proximity tracking; sending notifications; mobility checking,location as province/region; proximity; positive status; other,yes
1,no,active,Spectrum - Clinical Decisions,2020-04-19T08:41:38,AppStore (iOS),2014-10-05T12:39:40Z,health company,no,no,CAN,North America,covid-19 influenced,expert support; information exchange; notifications,,,
Varies with device,no,active,Luscii,2020-05-14T14:34:50,AppStore (iOS),2015-06-25T07:58:05Z,technology company,health facilities,yes,NLD,Europe,covid-19 specific,information exchange; notifications,symptoms monitoring with data sharing; communication with a doctor; sending instructions,,
,no,active,myColorado,,AppStore (iOS),2019-01-02T20:50:16Z,local/regional government,health authority,no,USA,North America,covid-19 influenced,other,,,
1,no,active,CareMore - Amaze,2020-05-14T21:41:03,AppStore (iOS),2018-03-20T22:23:24Z,health company,health facilities,no,USA,North America,health-generic,expert support,,,
1,no,active,TIH Covid-19,2020-05-07T08:17:45,AppStore (iOS),2020-04-18T07:00:00Z,local/regional government,health facilities,yes,DEU,Europe,covid-19 specific, information exchange,,,
,no,active,Ask Apollo:,,AppStore (iOS),2017-09-23T18:23:41Z,health company,health authority,no,IND,Asia,health-generic,information provision; information exchange,,,
1,no,active,Airmid,2020-04-24T09:39:02,AppStore (iOS),2020-04-23T07:00:00Z,health company,no,no,VGB,North America,health-generic,expert support; information provision,telemedicine; access to health services,,yes
1,no,active,Covid-19 Cuernavaca,2020-04-15T10:10:09,AppStore (iOS),2020-04-15T10:10:09Z,local/regional government,health facilities,no,MEX,North America,covid-19 specific,information provision; information exchange; personalised support without data sharing,,,
1.0.2,no,active,STOP COVID19 CAT,2020-04-02T11:10:54,AppStore (iOS),2020-03-18T07:00:00Z,local/regional government,health authority,yes,ESP,Europe,covid-19 specific,information provision; personalised support without data sharing; information exchange,,,
